분류,1회 제공량,메뉴,칼로리(kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
콜드 브루,Tall(톨) / 355ml (12 fl oz),나이트로 바닐라 크림,80,10,1,40,2,232
콜드 브루,Tall(톨) / 355ml (12 fl oz),나이트로 콜드 브루,5,0,0,5,0,245
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) / 355ml (12 fl oz),돌체 콜드 브루,265,29,8,130,9,150
콜드 브루,Tall(톨) / 355ml (12 fl oz),바닐라 크림 콜드 브루,125,11,3,58,6,150
콜드 브루,Tall(톨) / 355ml (12 fl oz),벨벳 다크 모카 나이트로,150,17,2,15,6,190
콜드 브루,Bottle(보틀) / 500ml (17 fl oz),시그니처 더 블랙 콜드 브루,25,0,0,50,0,680
콜드 브루,Grande(그란데) / 473ml (16 fl oz),제주 비자림 콜드 브루,340,43,10,140,8,105
웹사이트 비노출 메뉴(사이렌오더 영양정보 연동),Tall(톨) / 355ml (12 fl oz),콜드 브루,5,0,0,11,0,150
콜드 브루,Tall(톨) / 355ml (12 fl oz),콜드 브루 몰트,505,41,7,150,20,190
콜드 브루,Tall(톨) / 355ml (12 fl oz),콜드 브루 오트 라떼,120,14,1,95,0.3,65
콜드 브루,Tall(톨) / 355ml (12 fl oz),콜드 브루 플로트,225,18,3,70,10,190
브루드 커피,Tall(톨) / 355ml (12 fl oz),아이스 커피,5,0,0,10,0,140
브루드 커피,Tall(톨) / 355ml (12 fl oz),오늘의 커피,5,0,0,10,0,260
2022 Autumn,Tall(톨) / 355ml (12 fl oz),블랙 글레이즈드 라떼,385,37,11,220,14,75
2022 Autumn,Tall(톨) / 355ml (12 fl oz),아이스 블랙 글레이즈드 라떼,305,31,7,160,11,75
에스프레소,Solo(솔로) / 22ml (0.75 fl oz),에스프레소 콘 파나,30,1,0,0,1.5,75
에스프레소,Solo(솔로) / 22ml (0.75 fl oz),에스프레소 마키아또,10,0,1,0,0,75
에스프레소,Tall(톨) / 355ml (12 fl oz),아이스 카페 아메리카노,10,0,1,5,0,150
에스프레소,Tall(톨) / 355ml (12 fl oz),카페 아메리카노,10,0,1,5,0,150
에스프레소,Tall(톨) / 355ml (12 fl oz),아이스 카라멜 마키아또,190,22,6,110,4.6,75
